,Name,Link,Github,Category,Blockchain
0,Arrakis Finance,https://dapp.com/app/arrakis-finance,https://github.com/ArrakisFinance,Finance,Ethereum
1,Aave Protocol,https://dapp.com/app/aave-protocol,https://github.com/aave,Finance,Ethereum
2,Alpaca Finance,https://dapp.com/app/alpaca-finance,https://github.com/alpaca-finance,Finance,BNB Chain
3,Venus Protocol,https://dapp.com/app/venus-protocol,https://github.com/VenusProtocol/Venus-Protocol,Finance,BNB Chain
4,Compound,https://dapp.com/app/Compound,https://github.com/compound-finance/compound-protocol,Finance,Ethereum
5,Curve,https://dapp.com/app/curve,https://github.com/curvefi,Exchange,Ethereum
6,SushiSwap,https://dapp.com/app/sushiswap,https://github.com/sushiswap,Exchange,Ethereum
7,MetaMask Swap,https://dapp.com/app/metamask-swap,https://github.com/MetaMask/metamask-extension,Exchange,Ethereum
8,MakerDAO,https://dapp.com/app/makerdao,https://github.com/OasisDEX/,Finance,Ethereum
9,Router Protocol Polygon,https://dapp.com/app/router-protocol-polygon,https://github.com/router-protocol/,Utilities,Polygon (Matic)
10,DeFi Saver,https://dapp.com/app/defi-saver,https://github.com/DecenterApps/cdpsaver-contracts,Finance,Ethereum
11,dYdX,https://dapp.com/app/dydx,https://github.com/dydxprotocol,Exchange,Ethereum
12,Liquity Protocol,https://dapp.com/app/liquityfi,https://github.com/liquity/liquity,Finance,Ethereum
13,Across Protocol,https://dapp.com/app/across-protocol,https://github.com/across-protocol,Finance,Ethereum
14,1inch Network,https://dapp.com/app/1inch-exchange,https://github.com/CryptoManiacsZone,Exchange,Ethereum
15,ACSI Finance,https://dapp.com/app/acsi-finance,https://github.com/acryptos,Exchange,BNB Chain
16,Bancor,https://dapp.com/app/Bancor,https://github.com/bancorprotocol/contracts,Exchange,Ethereum
17,ForTube BSC,https://dapp.com/app/fortube-bsc,https://github.com/thefortube,Finance,BNB Chain
18,ApeSwap,https://dapp.com/app/apeswap,https://github.com/ApeSwapFinance,Exchange,BNB Chain
19,Enzyme Finance,https://dapp.com/app/melon-protocol,https://github.com/melonproject,Finance,Ethereum
20,Bogged.Finance Exchange,https://dapp.com/app/bogged-finance-exchange,https://github.com/boggedfinance,Exchange,BNB Chain
21,Atlendis,https://dapp.com/app/atlendis,https://github.com/Atlendis/whitepaper-v1/blob/main/Atlendis_WhitePaper_V1.pdf,Finance,Polygon (Matic)
22,Yearn.Finance,https://dapp.com/app/yearn-finance,https://github.com/iearn-finance,Finance,Ethereum
23,Wormhole Ethereum ,https://dapp.com/app/wormhole,https://github.com/certusone/wormhole,Utilities,Ethereum
24,1Inch Network BSC,https://dapp.com/app/1inch-exchange-BSC,https://github.com/CryptoManiacsZone,Exchange,BNB Chain
25,Atomex Ethereum,https://dapp.com/app/atomex-ethereum,https://github.com/atomex-me,Exchange,Ethereum
26,Crypto.com DeFi Swap,https://dapp.com/app/crypto-com-defi-swap,https://github.com/crypto-com/swap-interface,Exchange,Ethereum
27,Across Protocol Polygon,https://dapp.com/app/across-protocol-polygon,https://github.com/across-protocol,Finance,Polygon (Matic)
28,Zunami Protocol,https://dapp.com/app/zunami-protocol,https://github.com/ZunamiLab/,Finance,Ethereum
29,AirCash,https://dapp.com/app/aircash,https://github.com/Aircoin-official,Finance,BNB Chain
30,Harvest Finance,https://dapp.com/app/harvest-finance,https://github.com/harvest-finance,Finance,Ethereum
31,Ellipsis,https://dapp.com/app/ellipsis,https://github.com/ellipsis-finance,Exchange,BNB Chain
32,LI.FI,https://dapp.com/app/li-fi,https://github.com/lifinance,Finance,Ethereum
33,LI.FI BSC,https://dapp.com/app/li-fi-bsc,https://github.com/lifinance,Finance,BNB Chain
