,Name,Link,Github,Owner,Category,Blockchain
0,Arrakis Finance,https://dapp.com/app/arrakis-finance,https://github.com/ArrakisFinance,ArrakisFinance,Finance,Ethereum
1,Aave Protocol,https://dapp.com/app/aave-protocol,https://github.com/aave,aave,Finance,Ethereum
2,Alpaca Finance,https://dapp.com/app/alpaca-finance,https://github.com/alpaca-finance,alpaca-finance,Finance,BNB Chain
3,Venus Protocol,https://dapp.com/app/venus-protocol,https://github.com/VenusProtocol/Venus-Protocol,VenusProtocol,Finance,BNB Chain
4,Compound,https://dapp.com/app/Compound,https://github.com/compound-finance/compound-protocol,compound-finance,Finance,Ethereum
5,Curve,https://dapp.com/app/curve,https://github.com/curvefi,curvefi,Exchange,Ethereum
6,SushiSwap,https://dapp.com/app/sushiswap,https://github.com/sushiswap,sushiswap,Exchange,Ethereum
7,MetaMask Swap,https://dapp.com/app/metamask-swap,https://github.com/MetaMask/metamask-extension,MetaMask,Exchange,Ethereum
8,MakerDAO,https://dapp.com/app/makerdao,https://github.com/OasisDEX/,OasisDEX,Finance,Ethereum
9,Router Protocol Polygon,https://dapp.com/app/router-protocol-polygon,https://github.com/router-protocol/,router-protocol,Utilities,Polygon (Matic)
10,dYdX,https://dapp.com/app/dydx,https://github.com/dydxprotocol,dydxprotocol,Exchange,Ethereum
11,Liquity Protocol,https://dapp.com/app/liquityfi,https://github.com/liquity/liquity,liquity,Finance,Ethereum
12,Across Protocol,https://dapp.com/app/across-protocol,https://github.com/across-protocol,across-protocol,Finance,Ethereum
13,1inch Network,https://dapp.com/app/1inch-exchange,https://github.com/CryptoManiacsZone,CryptoManiacsZone,Exchange,Ethereum
14,ACSI Finance,https://dapp.com/app/acsi-finance,https://github.com/acryptos,acryptos,Exchange,BNB Chain
15,Bancor,https://dapp.com/app/Bancor,https://github.com/bancorprotocol/contracts,bancorprotocol,Exchange,Ethereum
16,ForTube BSC,https://dapp.com/app/fortube-bsc,https://github.com/thefortube,thefortube,Finance,BNB Chain
17,ApeSwap,https://dapp.com/app/apeswap,https://github.com/ApeSwapFinance,ApeSwapFinance,Exchange,BNB Chain
