,Name,Link,Category,Blockchain
0,ArcheWorld,https://dappradar.com/bora/games/archeworld,games,bora
1,Splinterlands,https://dappradar.com/multichain/games/splinterlands,games,multichain
2,Alien Worlds,https://dappradar.com/multichain/games/alien-worlds,games,multichain
3,PancakeSwap,https://dappradar.com/binance-smart-chain/defi/pancakeswap,defi,binance-smart-chain
4,Gameta,https://dappradar.com/multichain/games/gameta,games,multichain
5,Farmers World,https://dappradar.com/wax/games/farmers-world,games,wax
6,AtomicAssets,https://dappradar.com/multichain/other/atomicassets,other,multichain
7,Upland,https://dappradar.com/eos/games/upland,games,eos
8,AtomicMarket,https://dappradar.com/multichain/marketplaces/atomicmarket,marketplaces,multichain
9,GoodDollar,https://dappradar.com/multichain/defi/gooddollar,defi,multichain
10,Benji Bananas,https://dappradar.com/multichain/games/benji-bananas,games,multichain
11,DRIP,https://dappradar.com/binance-smart-chain/high-risk/drip,high-risk,binance-smart-chain
12,Solitaire Blitz,https://dappradar.com/flow/games/solitaire-blitz,games,flow
13,Kill Rich,https://dappradar.com/multichain/high-risk/kill-rich,high-risk,multichain
14,Magic Eden,https://dappradar.com/solana/marketplaces/magic-eden,marketplaces,solana
15,Axie Infinity,https://dappradar.com/multichain/games/axie-infinity,games,multichain
16,PlayMining,https://dappradar.com/dep/games/playmining,games,dep
17,OpenSea,https://dappradar.com/multichain/marketplaces/opensea,marketplaces,multichain
18,X World Games,https://dappradar.com/binance-smart-chain/games/x-world-games,games,binance-smart-chain
19,Trickshot Blitz,https://dappradar.com/flow/games/trickshot-blitz,games,flow
20,Era7: Game of Truth,https://dappradar.com/binance-smart-chain/games/era7:-game-of-truth,games,binance-smart-chain
21,Tiny World,https://dappradar.com/binance-smart-chain/games/tiny-world,games,binance-smart-chain
22,NeftyBlocks,https://dappradar.com/wax/marketplaces/neftyblocks,marketplaces,wax
23,Serious Dice,https://dappradar.com/thundercore/gambling/serious-dice,gambling,thundercore
24,TT-KENO,https://dappradar.com/thundercore/gambling/tt-keno,gambling,thundercore
25,TT-PLINKO,https://dappradar.com/thundercore/gambling/tt-plinko,gambling,thundercore
26,SX.Bet,https://dappradar.com/polygon/gambling/sx.bet,gambling,polygon
27,TTCasino,https://dappradar.com/thundercore/gambling/ttcasino,gambling,thundercore
28,Arc8 by GAMEE,https://dappradar.com/polygon/games/arc8-by-gamee,games,polygon
29,1inch Network,https://dappradar.com/multichain/defi/1inch-network,defi,multichain
30,Nine Chronicles,https://dappradar.com/other/games/nine-chronicles,games,other
31,Uniswap V2,https://dappradar.com/ethereum/exchanges/uniswap-v2,exchanges,ethereum
32,Uniswap V3,https://dappradar.com/multichain/exchanges/uniswap-v3,exchanges,multichain
33,QuickSwap,https://dappradar.com/polygon/exchanges/quickswap,exchanges,polygon
34,Wombat Dungeon Master,https://dappradar.com/multichain/games/wombat-dungeon-master,games,multichain
35,BitKeep Swap,https://dappradar.com/multichain/defi/bitkeep-swap,defi,multichain
36,Castles the NFT Game,https://dappradar.com/wax/games/castles-the-nft-game,games,wax
37,Chess,https://dappradar.com/eos/other/chess,other,eos
38,Sunflower Land,https://dappradar.com/polygon/games/sunflower-land,games,polygon
39,Planet IX,https://dappradar.com/polygon/games/planet-ix,games,polygon
40,PROSPECTORS,https://dappradar.com/multichain/games/prospectors,games,multichain
41,Animal World,https://dappradar.com/wax/games/animal-world,games,wax
42,Katana,https://dappradar.com/ronin/defi/katana,defi,ronin
43,StableFund,https://dappradar.com/multichain/defi/stablefund,defi,multichain
44,0x Protocol,https://dappradar.com/multichain/other/0x-protocol,other,multichain
45,Crazy Defense Heroes,https://dappradar.com/multichain/games/crazy-defense-heroes,games,multichain
46,MiningNetwork,https://dappradar.com/wax/games/miningnetwork,games,wax
47,Trader Joe,https://dappradar.com/avalanche/defi/trader-joe,defi,avalanche
