,Name,Link,Github,Owner,Category,Blockchain
0,PancakeSwap,https://dappradar.com/binance-smart-chain/defi/pancakeswap,https://github.com/pancakeswap,pancakeswap,defi,binance-smart-chain
1,AtomicAssets,https://dappradar.com/multichain/other/atomicassets,https://github.com/pinknetworkx/atomicassets-contracts,pinknetworkx,other,multichain
2,AtomicMarket,https://dappradar.com/multichain/marketplaces/atomicmarket,https://github.com/pinknetworkx,pinknetworkx,marketplaces,multichain
3,Axie Infinity,https://dappradar.com/multichain/games/axie-infinity,https://freakitties.github.io/axie/,axie,games,multichain
4,X World Games,https://dappradar.com/binance-smart-chain/games/x-world-games,https://github.com/XWorldGames,XWorldGames,games,binance-smart-chain
5,1inch Network,https://dappradar.com/multichain/defi/1inch-network,https://github.com/1inch,1inch,defi,multichain
6,Uniswap V3,https://dappradar.com/multichain/exchanges/uniswap-v3,https://github.com/Uniswap,Uniswap,exchanges,multichain
7,QuickSwap,https://dappradar.com/polygon/exchanges/quickswap,https://github.com/QuickSwap,QuickSwap,exchanges,polygon
8,Trader Joe,https://dappradar.com/avalanche/defi/trader-joe,https://github.com/traderjoe-xyz,traderjoe-xyz,defi,avalanche
9,DeFi Kingdoms,https://dappradar.com/multichain/games/defi-kingdoms,https://github.com/DefiKingdoms,DefiKingdoms,games,multichain
10,MeanFi,https://dappradar.com/solana/defi/meanfi,https://github.com/mean-dao/mean-sdk,mean-dao,defi,solana
11,Transit Swap,https://dappradar.com/multichain/exchanges/transit-swap,https://github.com/transit-finance,transit-finance,exchanges,multichain
12,SecondLive,https://dappradar.com/binance-smart-chain/games/secondlive,https://github.com/SecondLive,SecondLive,games,binance-smart-chain
13,ApeSwap,https://dappradar.com/multichain/defi/apeswap,https://github.com/apeswapfinance,apeswapfinance,defi,multichain
14,Aavegotchi,https://dappradar.com/polygon/games/aavegotchi,https://github.com/aavegotchi,aavegotchi,games,polygon
15,Snook,https://dappradar.com/polygon/games/snook,https://github.com/playsnook/onchain,playsnook,games,polygon
16,AES Finance,https://dappradar.com/polygon/defi/aes-finance,https://github.com/aestandard,aestandard,defi,polygon
17,ApolloX,https://dappradar.com/multichain/defi/apollox,https://github.com/apollox-finance/apollox-finance-api-docs/blob/master/apollox-finance-api.md,apollox-finance,defi,multichain
18,tofuNFT,https://dappradar.com/multichain/marketplaces/tofunft,https://github.com/scv-finance,scv-finance,marketplaces,multichain
19,Ethereum Name Service,https://dappradar.com/ethereum/other/ethereum-name-service,https://github.com/ensdomains,ensdomains,other,ethereum
20,KlimaDao,https://dappradar.com/polygon/social/klimadao,https://github.com/KlimaDAO,KlimaDAO,social,polygon
21,Bitcoin HODL Club,https://dappradar.com/binance-smart-chain/high-risk/bitcoin-hodl-club,https://github.com/BitcoinHC/SmartContracts,BitcoinHC,high-risk,binance-smart-chain
22,Everscale DePools and Staking,https://dappradar.com/everscale/defi/everscale-depools-and-staking,https://github.com/tonlabs,tonlabs,defi,everscale
23,Aave,https://dappradar.com/optimism/defi/aave,https://github.com/aave,aave,defi,optimism
24,Hic et Nunc,https://dappradar.com/tezos/marketplaces/hic-et-nunc,https://github.com/hicetnunc2000,hicetnunc2000,marketplaces,tezos
25,Beethoven X,https://dappradar.com/fantom/defi/beethoven-x,https://github.com/beethovenxfi,beethovenxfi,defi,fantom
26,Position Exchange,https://dappradar.com/binance-smart-chain/defi/position-exchange,https://github.com/PositionExchange,PositionExchange,defi,binance-smart-chain
27,Tranquil Finance,https://dappradar.com/harmony/defi/tranquil-finance,https://github.com/tranquil-finance,tranquil-finance,defi,harmony
28,Balancer,https://dappradar.com/multichain/exchanges/balancer,https://github.com/balancer-labs/,balancer-labs,exchanges,multichain
29,Teia,https://dappradar.com/tezos/marketplaces/teia,https://github.com/teia-community/,teia-community,marketplaces,tezos
30,HOP Protocol,https://dappradar.com/multichain/exchanges/hop-protocol,https://github.com/hop-protocol,hop-protocol,exchanges,multichain
31,StellaSwap,https://dappradar.com/moonbeam/exchanges/stellaswap,https://github.com/stellaswap,stellaswap,exchanges,moonbeam
32,Across,https://dappradar.com/multichain/other/across,https://github.com/across-protocol,across-protocol,other,multichain
33,sudoswap,https://dappradar.com/ethereum/marketplaces/sudoswap,https://github.com/sudoswap,sudoswap,marketplaces,ethereum
34,Ref Finance,https://dappradar.com/near/exchanges/ref-finance,https://github.com/ref-finance,ref-finance,exchanges,near
35,Aave V2,https://dappradar.com/ethereum/defi/aave-v2,https://github.com/aave/aave-protocol,aave,defi,ethereum
36,BabySwap,https://dappradar.com/binance-smart-chain/defi/babyswap,https://github.com/babyswap,babyswap,defi,binance-smart-chain
37,Venus Protocol,https://dappradar.com/binance-smart-chain/defi/venus-protocol,https://github.com/VenusProtocol,VenusProtocol,defi,binance-smart-chain
38,LIDO,https://dappradar.com/multichain/defi/lido,https://github.com/lidofinance,lidofinance,defi,multichain
