Name,category,Balance,User,Volume24,Volume7d,Txn24,Txn7d,platform,github,smartContract
PROSPECTORS,games,10.69,3200,0,0,63300,452600,  EOS,null,4
WINk,gambling,9100000,2900,12200000,81500000,1500000,8700000,  TRON,null,18
My Crypto Heroes,games,242.27,2500,583,11300,2700,19700,  ETH,null,23
MakerDAO,other,1700000,2500,571500,9100000,3700,27100,  ETH,['https://github.com/MakerDAO'],8
EOS Knights,games,921.9,2300,541,1600,44900,299600,  EOS,null,0
Endless Game,gambling,15000,2200,11100,132100,54100,645100,  EOS,null,13
RocketGame,gambling,525800,2100,395000,3100000,80600,364300,  TRON,null,10
Xdapp,gambling,5700,2000,21600,149700,23800,226200,  EOS,null,1
Endless Game IOST,gambling,4900000,1900,65,3200,20000,182900,  IOST,null,2
Dice,gambling,157800,1800,1200000,5200000,564300,3200000,  EOS,null,18
EOS Dynasty,games,2200,1700,2300,11900,86200,442900,  EOS,null,2
TRXMarket,exchanges,2800000,1700,122800,1100000,11800,112100,  TRON,null,6
BLUEBET,gambling,42600,1600,311600,3200000,164000,1200000,  EOS,null,26
Lumeos,other,1,1500,0,0,45700,391100,  EOS,null,2
HyperDragons Go,games,0,1300,862,7800,3800,32300,  ONT,null,4
Holdäó»em PokerKing,gambling,5800,1300,34100,258500,6300,44300,  EOS,null,0
X2BET.WIN,gambling,3100,1200,7600,97900,1200,8600,  TRON,null,2
TronTrade,exchanges,10500000,1200,252900,3800000,11200,72500,  TRON,null,5
SoloLink,gambling,516000,1200,1200000,13600000,20100,262500,  TRON,null,7
IOST Play,gambling,3300000,1200,10400,64600,9300,133000,  IOST,null,3
Newdex,exchanges,43800,1100,2300000,16800000,101500,811000,  EOS,null,2
SuperPlayer,games,12.09,1000,778,6000,1300,10100,  ETH,null,8
Playtowin.io,gambling,12.01,1000,38400,188300,1000,7200,  ETH,null,3
CryptoHands,high-risk,0,874,28800,198500,988,7400,  ETH,null,1
Royal Online Vegas,gambling,1600,841,1300,13900,6600,49300,  EOS,null,2
TronWatch Market,exchanges,3700000,838,54200,466400,4700,36500,  TRON,null,1
HyperSnakes,games,71.16,750,4700,43000,823,6100,  ETH,null,3
KARMA,other,3000,738,0,0,17600,141200,  EOS,null,2
X2BET.WIN,gambling,11.35,698,97400,451500,987,5000,  ETH,null,2
Crypto Sword & Magic,games,375.59,666,2000,8700,11500,75600,  EOS,null,1
CryptoDozer,games,624.32,665,3500,18400,1000,6400,  ETH,null,0
BETX,gambling,818.01,632,3500,14300,18600,76400,  EOS,null,2
imToken Tokenlon,exchanges,0,627,208000,1300000,1100,3200,  ETH,null,0
GP Casino,gambling,2100,609,1100,20600,4300,44600,  EOS,null,5
0xUniverse,games,45.7,609,350,4700,3800,29900,  ETH,null,0
TronChip,gambling,149000,602,432200,2900000,7500,55200,  TRON,null,6
BeeHive,high-risk,3700000,594,1900,43500,2200,19300,  TRON,null,1
HyperSnakes,games,0,583,4800,36500,3200,26100,  ONT,null,5
BetCity,gambling,1500,573,273,177100,1500,9500,  EOS,null,9
EOS Royale,gambling,19.48,533,207,3400,2000,14100,  EOS,null,0
Fomo Token,high-risk,3.62,511,0,0,536,3000,  EOS,null,1
XPET,games,14.56,506,0,271,6900,33400,  EOS,null,6
Blockchain Cuties,games,143.97,498,629,4100,1200,9000,  ETH,null,58
IDEX,exchanges,43000,479,261600,2900000,6200,51500,  ETH,null,1
ForkDelta,exchanges,23000,476,41600,776100,1500,15900,  ETH,null,0
EOSDOTA,games,428.36,458,9,1700,36500,228200,  EOS,null,1
Dragon7,gambling,2600000,455,58400,506800,1500,12100,  TRON,null,5
NEST,other,0,453,5000000,36600000,2000,14500,  ETH,['https://github.com/NestCore/NEST'],2
DEXEOS,exchanges,918.96,451,19200,964300,8600,79300,  EOS,null,0
RushDice,gambling,2400,441,10900,77100,5500,38800,  EOS,null,1
Dinosaur Kingdom,high-risk,2300,437,30800,223500,4600,36100,  EOS,null,1
IOST Dex,exchanges,89600,405,6300,49000,9000,76600,  IOST,null,1
SKR EOS,gambling,4700,352,62300,547200,164500,1400000,  EOS,null,0
OFFSIDE.io,gambling,1300,325,5800,144600,4400,27000,  EOS,null,8
DEOS Games,gambling,30.95,321,682,6800,1700,14900,  EOS,null,0
CryptoThrone Î_æÎ¿Ê_Î__-_æ_»__´ë,games,0,313,2900,20400,3000,20000,  ONT,null,1
EOSLUCK,gambling,8700,305,6100,42300,3200,22700,  EOS,null,2
A Chinese tale story - Îë_Î«Ë_,games,6500,302,95,6300,813,7500,  EOS,null,2
Bankroll,gambling,41200000,274,5300,39100,4000,25500,  TRON,null,0
Kyber,exchanges,2300,273,139500,1500000,520,3700,  ETH,null,3
EOS GRAND,gambling,182.05,248,38600,167400,49400,258400,  EOS,null,3
WinPlay,gambling,16800,234,36200,100700,5000,32400,  EOS,null,1
Nagemon,marketplaces,0,231,6,6,236,1900,  ETH,null,3
Solitaire Duel,games,1.86,231,215,1200,1600,10600,  EOS,null,0
ó»__ì_ - Slots777,gambling,0,225,7600,104600,1800,22100,  EOS,null,1
Black Jack,gambling,0,224,26200,633900,13300,319600,  EOS,null,1
HyperDragons,games,12.89,222,3200,25500,326,2500,  ETH,null,22
Î_ËÎ¬Î¬__ - Scratchers,gambling,0,216,183,1900,1000,9500,  EOS,null,1
IOSTWin,gambling,471400,208,108000,897600,273000,1800000,  IOST,null,3
TRONTOPIA,gambling,1900000,201,222400,2300000,89100,857000,  TRON,null,14
Uniswap,exchanges,30700,198,233300,1500000,556,4400,  ETH,null,35
Relentless TCG (BETA),games,0,186,0,0,57000,354600,  LOOM,null,1
WhaleEx,exchanges,281800,177,341900,1300000,77800,761700,  EOS,null,1
BigGame,gambling,333000,176,773900,4700000,136600,929300,  EOS,null,12
Axie Infinity,games,201.23,172,1900,5200,1800,13300,  ETH,null,26
Game Sky,gambling,8500,168,181,1300,1700,12000,  EOS,null,5
IPSE,other,0,167,0,0,69200,425300,  EOS,null,0
Murmur,other,0.07,167,0,0,2300,22500,  EOS,null,2
Gods Unchained,games,4400,167,3900,90300,422,3700,  ETH,null,21
Evolutions,high-risk,87500,167,175,2500,225,2900,  TRON,null,2
Void Token,high-risk,15800,153,0,0,327,2200,  TRON,null,0
CryptoKitties,games,126.01,150,2400,33800,2600,21800,  ETH,null,5
FINDEX,exchanges,3900,144,381100,2100000,2600,29800,  EOS,null,1
ScratchCards - ÎÂ_ïÎ¬Î¬__,gambling,253.18,143,0,5,14600,98900,  EOS,null,2
IOST Ball - Ê_Î___óÎ__,gambling,8700,142,0,0,154,1000,  IOST,null,1
Dragon Option,gambling,270.37,141,1100,10500,3400,23200,  EOS,null,1
LocalEthereum,exchanges,38.3,139,65500,416700,511,4600,  ETH,null,2
Marvellous 3D - __Á3D,gambling,0,135,1500,52900,258,10600,  EOS,null,1
CryptoThrone,games,89.15,131,10,65,1600,12600,  EOS,null,0
iBoxGame,gambling,680.35,128,0,3,781,18100,  EOS,null,1
dYdX,other,0,126,95600,6700000,264,2400,  ETH,null,2
EOSBet,gambling,71700,125,139300,1700000,60500,400600,  EOS,['https://github.com/EOSBetCasino'],6
OpenSea,marketplaces,10.6,125,10000,97600,280,2100,  ETH,null,0
TRON Birds,games,27300,125,55,315,202,1300,  TRON,['https://github.com/TRON-Birds'],6
Tron Pizzeria,high-risk,13600,123,52,86,162,941,  TRON,null,1
»______,gambling,0,122,5200,98100,323,6800,  EOS,null,0
EOSDAQ,exchanges,3700,117,1200000,3200000,25700,111300,  EOS,null,0
EOSROYAL.io,gambling,626.48,116,176,1200,910,6500,  EOS,null,3
Bank of TRON,high-risk,2.779947,113,56,113,134,797,  TRON,null,1
Tron Owls,high-risk,1.196613,105,6,435,121,886,  TRON,null,0
_©_å2048,games,2800,105,0,0,107,645,  IOST,null,1
Crypt-Oink,games,82.6,103,62,3300,315,2500,  ETH,null,8
EosKingDom,gambling,7200,101,30600,349300,11500,114700,  EOS,null,14
token.store ETH,exchanges,1200,101,2100,38000,346,2800,  ETH,null,1
Livepeer,other,0.8,98,0,0,117,894,  ETH,null,13
0xBitcoin,other,0,98,0,0,213,920,  ETH,null,0
TRON UP,gambling,4400,97,5400,31500,3700,24100,  TRON,null,7
HB DEX,exchanges,0.09,96,2,8,98,1400,  ETH,null,10
TroNext,gambling,1300000,94,2200,24500,1900,14100,  TRON,null,7
EOS Max,gambling,30900,93,6,16400,799,109200,  EOS,null,9
GGS,gambling,10300,92,239,2900,1100,14800,  EOS,null,0
Shooter - __È__óéÎ_ÂÎïÖ,games,18900,89,0,24,89,1600,  IOST,null,1
7Tron,gambling,220900,89,270700,2100000,45000,304900,  TRON,null,0
TRONAce,gambling,6700000,88,0,76400,612,59900,  TRON,null,5
888Tron,gambling,4500000,84,19000,189100,3600,21100,  TRON,null,0
Paytomat,other,0.72,83,0,0,5300,11200,  EOS,null,1
Liebi Pool - IOST,other,1100000,82,2200,31200,149,2100,  IOST,null,0
CryptoMania,gambling,6500,78,8300,239400,20500,198800,  EOS,null,6
Everipedia,other,543.41,77,0,0,3500,26000,  EOS,null,0
Frag Raffle,gambling,0,77,9,47,97,538,  TRON,null,2
Eggies World,games,199100,71,9,179,317,6200,  TRON,null,6
Bancor,exchanges,0,69,0,0,221,1800,  ETH,null,0
EOSreel,gambling,9000,67,2000,26600,7200,65100,  EOS,null,6
ETHFish,gambling,633.85,65,11300,36200,110,229,  ETH,null,0
IOST Voter,other,0,65,0,0,96,703,  IOST,null,1
Trust Dice,gambling,5000,65,94000,494000,34900,240200,  EOS,null,0
Smart Games,gambling,260900,63,2000,16800,991,8100,  TRON,null,0
PlasmaChain Staking,other,0,62,0,0,131,827,  LOOM,null,0
dice2.win,gambling,510.59,58,361000,1700000,8700,50400,  ETH,null,0
Tronjack,gambling,1300000,54,980,13200,1300,9900,  TRON,null,9
BTEX,exchanges,3000,53,5300,46500,196,1100,  EOS,null,0
Lucky Network,high-risk,954500,52,287,1500,167,1200,  TRON,null,4
To the Moon,games,52.39,52,39,104,10500,79700,  EOS,null,1
XPET_óÈÎ___´ë,games,0,51,0,0,462,3500,  IOST,null,0
TronGoo,games,136800,51,1,5,454,2600,  TRON,null,1
Etheremon,games,64.89,48,10,2100,121,1000,  ETH,null,31
Saturn Network,exchanges,4.12,48,2000,10700,131,808,  ETH,null,1
Blockchain Cuties,games,2300000,46,191,682,588,3500,  TRON,null,14
Believe - Îë_Î_ñ__Ëç_éÁÎ__,other,109,44,0,0,133,927,  EOS,null,1
SportBet,gambling,8500,42,9000,110000,999,7100,  EOS,null,1
dBet Games,gambling,0.09,41,0,0,47,502,  EOS,null,8
EOS Tower Game,games,497.81,40,1,39,214,1700,  EOS,null,2
BetHash - Blackjack,gambling,109400,40,50500,312100,204400,1600000,  EOS,null,8
pEOS,other,2600,40,0,0,8900,46400,  EOS,null,1
CryptantCrab,games,211.46,38,139,1300,50,661,  ETH,null,30
Loom Marketplace,marketplaces,0,38,0,8,469,5100,  LOOM,null,20
PIZZA-USDE,other,0.7,37,103300,486000,8900,62700,  EOS,null,0
POKE25,gambling,451.96,36,985,6600,2000,41700,  EOS,null,7
TronPassive,high-risk,17700,36,0,0,39,203,  TRON,null,1
Sense Chat,other,485.44,35,0,0,56,402,  EOS,null,0
Chibi Fighters,games,2.02,34,8,155,40,400,  ETH,null,0
Auctionity,marketplaces,83.6,34,338,11200,35,2100,  ETH,null,0
Poker EOS,gambling,18600,34,48200,635900,21100,155100,  EOS,null,6
CryptoNinja,games,0,34,0,0,55,409,  IOST,null,0
TRON Trade,exchanges,0,33,12000,79000,185,1300,  TRON,null,1
EOSPLAY,gambling,134100,33,1900000,8800000,23100,162100,  EOS,null,0
MyEtherGames,gambling,2.93,33,836,5400,213,1200,  ETH,null,1
PrivatixNetwork,other,0,33,0,0,72,451,  ETH,null,0
CoinX,exchanges,0,32,3200,31700,36,337,  ETH,null,2
Edgeless,gambling,0,32,0,0,211,1600,  ETH,['https://github.com/edgeless-casino'],8
TronLending,other,0,31,51,710,34,226,  TRON,null,0
Equilibrium - EOSDT,other,558600,30,1100,2100000,2500,15100,  EOS,null,6
TRX.BET,gambling,4400000,29,45400,143700,2000,25200,  TRON,null,8
Tron Farms,high-risk,16300,27,0,8,482,3500,  TRON,null,2
myCryptoVegas,gambling,2800,27,4700,48200,9300,66200,  EOS,null,2
Tron-Global,high-risk,332400,27,113,2200,81,392,  TRON,null,0
Crypto Space Commander,games,42.55,27,1300,4900,96,545,  ETH,null,9
ETHLend,other,167.97,26,37100,97200,133,387,  ETH,null,0
FragDice,gambling,0,26,0,0,3000,22300,  TRON,null,2
Red Envelope - _ìå__ñ_¢Îë,gambling,0,26,0,3,52,2200,  ONT,null,2
Augur,other,3000,26,6100,80700,78,613,  ETH,null,11
Super Planet - ____Öô,games,0,25,2,419,52,2300,  ONT,null,1
MegaCryptoPolis,games,78.13,25,416,1900,53,418,  ETH,null,26
Marble.Cards,games,274.02,25,181,1400,143,1300,  ETH,null,3
CryptoMibs,games,5.83,24,0,2,50,221,  ETH,null,0
SmartFund,high-risk,0,24,10500,63700,34,459,  ETH,null,1
CryptoMiner World,games,13.7,24,44,1100,118,1000,  ETH,null,38
CasinoFair (FUN),gambling,0.13,23,0,0,83,585,  ETH,null,8
Guppys,other,0.53,23,69,637,155,696,  IOST,null,2
