dappNAme,category,users,Platform,Devact,Volume7d,github,status,Date,license
MakerDAO,Finance,2349,Ethereum,1718,8297039,https://github.com/MakerDAO?utm_source=StateOfTheDApps,Live,"Apr 7th, 2016",MIT
Steemit,Social,2975,Steem,953,0,https://github.com/steemit?utm_source=StateOfTheDApps,Beta,"Dec 16th, 2018",MIT
Status,Wallet,445,Ethereum,6291,0,https://github.com/status-im?utm_source=StateOfTheDApps,Beta,"Feb 22nd, 2016",MPL2
Geon App,Games,663,POA,0,0,https://github.com/geonnetwork?utm_source=StateOfTheDApps,Live,"Nov 23rd, 2018",Proprietary
Chainlink,Security,863,Ethereum,1052,1,https://github.com/smartcontractkit/chainlink?utm_source=StateOfTheDApps,Live,"Aug 20th, 2018",MIT
Steem Monsters,Games,2687,Steem,0,31100,null,Live,"Dec 16th, 2018",proprietary
My Crypto Heroes,Games,2291,Ethereum,0,12115,null,Live,"Sep 21st, 2018",Unknown license
ADM,Marketplaces,14106,EOS,0,0,null,Live,"May 6th, 2019",MIT
Nextcolony,Games,1303,Steem,92,882,https://github.com/Jarunik/nc-client?utm_source=StateOfTheDApps,Live,"Apr 25th, 2019",Proprietary
Basic Attention Token,Wallet,810,Ethereum,772,0,https://github.com/brave-intl?utm_source=StateOfTheDApps,Live,"May 26th, 2017",MPL
0x,Exchanges,380,Ethereum,3166,0,https://github.com/0xProject?utm_source=StateOfTheDApps,Live,"Jun 27th, 2017",Unknown license
Prospectors,Games,3172,EOS,0,0,https://github.com/prospectorsworld?utm_source=StateOfTheDApps,Live,"Sep 6th, 2017",MIT
DTube,Social,198,Steem,184,0,https://github.com/dtube?utm_source=StateOfTheDApps,Live,"Nov 20th, 2018",GNU GPL
Partiko,Social,1230,Steem,0,0,https://github.com/Partiko?utm_source=StateOfTheDApps,Live,"Dec 16th, 2018",Proprietary
Endless Dice,Gambling,33641,EOS,0,575,null,Live,"Nov 4th, 2018",Unknown license
KyberNetwork,Exchanges,360,Ethereum,1296,1829321,https://github.com/kyberNetwork?utm_source=StateOfTheDApps,Live,"Jun 26th, 2017",MIT
CryptoDozer,Games,598,Ethereum,0,13680,null,Live,"Feb 28th, 2019",Proprietary
eSteem,Media,355,Steem,2007,0,https://github.com/esteemapp?utm_source=StateOfTheDApps,Live,"Dec 16th, 2018",MIT
0xUniverse,Games,712,Ethereum,0,3552,null,Live,"Jun 22nd, 2018",Unknown license
OmiseGO,Finance,240,Ethereum,1739,0,https://github.com/omisego?utm_source=StateOfTheDApps,WIP,"May 9th, 2017",Apache
Actifit,Health,729,Steem,33,5,https://github.com/actifit?utm_source=StateOfTheDApps,Live,"Dec 16th, 2018",MIT
IDEX,Exchanges,573,Ethereum,15,2589557,https://github.com/AuroraDAO?utm_source=StateOfTheDApps,Live,"Feb 20th, 2017",MIT
Busy,Social,467,Steem,63,0,https://github.com/busyorg?utm_source=StateOfTheDApps,Live,"Dec 16th, 2018",MIT
NEST,Finance,564,Ethereum,0,31766791,https://github.com/NestCore?utm_source=StateOfTheDApps,Live,"Jul 30th, 2019",GPL3.0
Auctionity,Marketplaces,226,Ethereum,1,13787,https://github.com/auctionity?utm_source=StateOfTheDApps,Live,"May 14th, 2018",MIT
Storj,Storage,38,Ethereum,5451,0,https://github.com/Storj?utm_source=StateOfTheDApps,Prototype,"May 24th, 2017",AGPL V3
Steemhunt,Social,331,Steem,1069,0,https://github.com/Steemhunt?utm_source=StateOfTheDApps,Live,"Dec 16th, 2018",MIT
V-ID,Security,62,Ethereum,0,0,https://github.com/V-ID/V-ID-Token?utm_source=StateOfTheDApps,Live,"May 9th, 2019",MIT
EOS Knights,Games,2260,EOS,35,1470,https://github.com/bada-studio?utm_source=StateOfTheDApps,Live,"Sep 19th, 2018",MIT
Lumeos,Social,1482,EOS,0,0,https://github.com/Lumeos/contracts?utm_source=StateOfTheDApps,Live,"Feb 6th, 2019",Proprietary
Dabanking,Games,732,Ethereum,0,83078,null,Live,"Jun 27th, 2019",Unknown license
Dlike,Social,360,Steem,0,0,null,Live,"Dec 17th, 2018",Unknown license
Uniswap,Exchanges,222,Ethereum,363,1371074,https://github.com/Uniswap?utm_source=StateOfTheDApps,Beta,"Nov 14th, 2018",GPL-3.0
OpenSea,Marketplaces,125,Ethereum,135,80444,https://github.com/ProjectOpenSea?utm_source=StateOfTheDApps,Live,"Feb 7th, 2018",Open-source
Augur,Exchanges,87,Ethereum,2725,79792,https://github.com/AugurProject?utm_source=StateOfTheDApps,Live,"Aug 15th, 2015",GPL
Decentraland,Property,92,Ethereum,2169,0,https://github.com/decentraland?utm_source=StateOfTheDApps,Live,"May 20th, 2017",MIT
Privatix Network,Marketplaces,30,Ethereum,115,0,https://github.com/Privatix/privatix?utm_source=StateOfTheDApps,Live,"Aug 2nd, 2019",GPL-3
Bancor,Exchanges,211,Ethereum,45,670279,https://github.com/bancorprotocol/contracts?utm_source=StateOfTheDApps,Live,"May 22nd, 2017",Apache 2.0
TokenBB,Social,234,Steem,189,0,https://github.com/BuildTeamDev/tokenbb-web-client?utm_source=StateOfTheDApps,Live,"Mar 20th, 2019",Proprietary
Golem,Development,64,Ethereum,1462,0,https://github.com/golemfactory/golem?utm_source=StateOfTheDApps,Beta,"Apr 23rd, 2015",GPL
Gods Unchained,Games,209,Ethereum,1,92105,https://github.com/fuelgames?utm_source=StateOfTheDApps,Live,"Jul 11th, 2018",MIT
iExec,Marketplaces,36,Ethereum,530,0,https://github.com/iExecBlockchainComputing?utm_source=StateOfTheDApps,Live,"May 9th, 2017",open-source
HB DEX,Exchanges,117,Ethereum,0,0,null,Live,"Jun 20th, 2019",Company Registration
Smartsteem,Finance,158,Steem,6,6366,https://github.com/smartsteem?utm_source=StateOfTheDApps,Live,"Dec 16th, 2018",Proprietary
Axie Infinity,Games,163,Ethereum,9,4009,https://github.com/axieinfinity?utm_source=StateOfTheDApps,Live,"Mar 31st, 2018",MIT
Saturn Network,Exchanges,48,Ethereum,40,10701,https://github.com/saturn-network/assets?utm_source=StateOfTheDApps,Live,"Dec 6th, 2018",propprietary
DEXEOS,Exchanges,456,EOS,1,1966905,https://github.com/DEXEOS?utm_source=StateOfTheDApps,Live,"Sep 19th, 2018",Copyright © WIZLAB 2018
nTOPAZ,Social,56,Steem,0,0,https://github.com/dgtop21?utm_source=StateOfTheDApps,Live,"Feb 27th, 2019",MIT
Nexo,Finance,82,Ethereum,6,0,https://github.com/nexofinance/NEXO-Token?utm_source=StateOfTheDApps,Live,"Dec 18th, 2018",Unknown license
Synthetix,Finance,48,Ethereum,133,0,https://github.com/Synthetixio/synthetix?utm_source=StateOfTheDApps,Live,"Nov 16th, 2018",MIT
ARINALANDTYCOON,Games,996,Ethereum,0,32,null,Live,"Jun 21st, 2019",Unknown license
Blockchain Cuties,Games,342,Ethereum,0,3915,null,Live,"Mar 15th, 2018",GPL
IoTeX-Voting-Portal,Governance,55,Ethereum,2899,0,https://github.com/iotexproject?utm_source=StateOfTheDApps,Live,"Jun 11th, 2019",Apache License 2.0
LocalEthereum,Exchanges,189,Ethereum,0,575674,null,Live,"Oct 25th, 2017",N/A
Livepeer,Media,135,Ethereum,1207,0,https://github.com/livepeer?utm_source=StateOfTheDApps,Live,"May 22nd, 2017",GPL v3.0
KARMA,Social,661,EOS,0,0,https://github.com/KarmaApp?utm_source=StateOfTheDApps,Live,"Sep 19th, 2018",Unknown license
VeADIR,Finance,77,Ethereum,0,0,null,Beta,"Jan 6th, 2019",Unknown license
Polymath,Finance,59,Ethereum,1526,0,https://github.com/polymathnetwork?utm_source=StateOfTheDApps,Live,"Aug 31st, 2017","MIT, Affero GPL"
Aragon,Governance,9,Ethereum,3870,0,https://github.com/aragon?utm_source=StateOfTheDApps,Live,"May 4th, 2017",AGPLv3
Mycontract,Development,20,Ethereum,3,0,https://github.com/XinFinOrg/MyContract?utm_source=StateOfTheDApps,Live,"Feb 16th, 2019","Apache License Version 2, January 2004"
Nagemon,Games,262,Ethereum,0,0,null,Live,"Apr 23rd, 2019",Company Registration
SteemPeak,Media,491,Steem,0,0,null,Live,"Dec 16th, 2018",Unknown license
SingularityNET,Marketplaces,22,Ethereum,1542,0,https://github.com/singnet?utm_source=StateOfTheDApps,Live,"Dec 17th, 2018",MIT
aelf,Development,76,Ethereum,1375,0,https://github.com/aelfProject?utm_source=StateOfTheDApps,WIP,"Feb 7th, 2018",Unknown license
CanWork,Marketplaces,8,Ethereum,39,0,https://github.com/canyacoin/canwork-web-ui?utm_source=StateOfTheDApps,Live,"Aug 3rd, 2018",MIT
